ID,Title,Author,Units,Illustrator,Genre,Publisher,Publication Year,Price,Description,Condition,Condition Description,Format,Features,Language,Topic,Book Series,Type,Narrative Type,Edition,Manufactured,Inscribed,Intended Audience,Vintage,Signed,Pictures,Height,Width,Length,Weight,Weight Minor
76,Somos - Gloria Martin Un Rostro Inolvidable,Somos,1,,"Magazine, celebrities, music, movies, news, pop culture, Mexico",Somos,2000,30,Esta ediction se centra en la icono del cine mexicano Gloria Marin!,Good,See pictures.,Magazine,,Spanish,Mexico,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,24,2,10,13,1,0
77,Somos - Rosita Quintana - A Mexico Le Debo Lo Que Soy,Somos,1,,"Magazine, celebrities, music, movies, news, pop culture, Mexico",Somos,2001,30,Esta ediction se centra en la icono del cine mexicano Rosita Quintana!,Good,See pictures.,Magazine,,Spanish,Mexico,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,24,2,10,13,1,0
78,Somos - Las Rumberas del Cine Mexicano,Somos,1,,"Magazine, celebrities, music, movies, news, pop culture, Mexico",Somos,1999,30,Mujeres famosas del cine mexicano! ,Good,See pictures.,Magazine,,Spanish,Mexico,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,24,2,10,13,1,0
79,Somos - Pedro Infante - El Idolo De Mexico,Somos,1,,"Magazine, celebrities, music, movies, news, pop culture, Mexico",Somos,2001,30,Esta edición se centra en Pedro Infante. Icono de musica y peliculas Mexicanas!,Good,See pictures.,Magazine,,Spanish,Mexico,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,24,2,10,13,1,0
80,Somos - 10 Anniversario - Epoca de Oro Del Cine Mexicano de la A la Z,Somos,1,,"Magazine, celebrities, music, movies, news, pop culture, Mexico",Somos,2001,30,Edicion especial que se centra en la epoca de oro del Cine Mexicano! Bellas fotos!,Good,"Good, see pictures.",Magazine,,Spanish,Mexico,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,24,2,10,13,1,0
81,Somos - Maria Victoria - Voz y Encanto de Sirena,Somos,1,,"Magazine, celebrities, music, movies, news, pop culture, Mexico",Somos,2000,30,"Esta edición se centra en Maria Victoria, gran icono de musica y peliculas Mexicanas!",Good,"Great condition, see pictures.",Magazine,,Spanish,Mexico,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,24,2,10,13,1,0
82,Somos - Grandes Historias de Amor - Especial de Coleccion,Somos,1,,"Magazine, celebrities, music, movies, news, pop culture, Mexico",Somos,2000,30,Historias y fotos de iconos de musica y peliculas Mexicanas!,Good,See pictures.,Magazine,,Spanish,Mexico,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,22,2,10,13,1,0
83,The Human Body - A Fascinating See Through View of How Our Bodies Work,Robert J. Fabiny,1,,"Educational, medicine, informational, biology",Wishing Well Books,1993,10,"A cool book that shows a literal see-through view of the major systems of the human body, such as the nervous system, skeletal system, reproductive system and more!",Good,"Good condition, no missing pages or major wear.",Hardback,,English,Biology,,Educational,Non-Fiction,,,,"Young Adults, adults",,,16,2,9,12,1,8
84,Rolling Stone Special Collector's Edition - 1000th Issue,Rolling Stone,1,,"Magazine, music, celebrities, pop culture, news",Rolling Stone,2006,15,"The 1000th Issue complete with a holographic front and back cover! In this issue you will find other Rolling Stone covers throughout time, iconic figures such as Jim Morrison, Kurt Cobain, Jim Carrey and more! See pictures.",Good,"Magazine has wear, but no missing pages. Still intact, but with obvious signs of the ages. See pictures!",Magazine,,English,Pop culture,,Magazine,Non-Fiction,,,,"Young Adults, adults",,,24,2,7,10,2,0
85,Hamlet,William Shakespeare,1,,"Shakespeare, poetry, history, commentary, fantasy, tragedy, drama","Scott, Foresman and Company",1904,20,119 year old book. William Allen Nielson provides an introduction and preface the classic Tragedy of Hamlet.,Acceptable,Visible signs of aging. Binding is coming apart. Pages are whole and none are missing. See pictures.,Hardback,,English,Poetry,,Novel,Fiction,,,,"Young Adults, adults",,,20,2,7,10,0,13
86,The Tragedy of Hamlet - The New Hudson Shakespeare,William Shakespeare,1,,"Shakespeare, poetry, history, commentary, fantasy, tragedy, drama",Ginn and Company,1909,75,"114 year old book. Contains the Tragedy of Hamlet, by Shakespeare. Notes and clarification are found in the footnotes. Well kept for its age.",Good,"Good condition, slight signs of aging, but no major wear or tear.",Hardback,,English,Poetry,,Novel,Fiction,,,,"Young Adults, adults",,,23,2,7,10,1,2
88,Leaves of Grass,Walt Whitman,1,,"Poetry, history, americana",Barnes and Noble,1987,8,"Leaves of Grass is a poetry collection by American poet Walt Whitman. Though it was first published in 1855, Whitman spent most of his professional life writing, rewriting, and expanding Leaves of Grass until his death in 1892",Good,"Good condition, see pictures. Comes with bookmark ribbon.",Hardback,,English,Poetry,,,Non-Fiction,,,,"Young adults, kids, children",,,16,2,7,10,1,10
89,Digimon - Leomon's Challenge,John Whitman,1,Akiyoshi Hongo,"90's, monsters, adventure, action, children, fantasy, digital, epic, cartoon",Harper Entertainment,2000,20,"Digimon Digital Monsters! Join the Digidestined as they face off against the nefarious Devimon and Leomon! Set on File Island, Devimon takes control of Leomon and wreaks havoc on Tai, Matt, TK, Agumon, Gabumon, Patomon and the rest of the gang! Book contains color pages, as well as a collectable post card to trade or mail. See pictures for more details.",Good,Book shows no signs of major wear or tear.,Paperback,,English,"Adventure, monsters, fantasy",Digimon,Kid's book,Fiction,,,,"Young adults, kids, children",,,22,2,7,10,0,13
91,The Enchantress of Florence,Salman Rushdie,1,,"Adventure, fantasy, women, magic, action, alternate history",Random House,2009,8,"This is the story of a mysterious, beautiful woman believed to possess the powers of enchantment and sorcery, attempting to command her own destiny in a man's world. You go girl! Set in Florence during the High Renaissance. Read this and feel empowered whether you're a man, woman or have no gender at all! See pictures for more details.",Good,"Used and showing signs of wear, but in good condition. No missing pages or tears.",Paperback,,English,"Magic, women, mystery, history, renaissance, Italy, sorcery",,Novel,Fiction,,,,"Young Adults, Adults",,,15,2,7,10,1,4
100,Pocahontas,,1,,"Adventure, fantasy, action, children, young adult",Grolier Enterprises,1995,15,See pictures,Good,Torn pages.,Hardback,,English,,,,,,,,,,,10,2,7,10,0,13
101,Healthy Cooking,John Phillip Carroll,1,Allan Rosenburg,"Cooking, recipes, instructional, health, wellness, fitness, nutrition",Time Life,1997,20,"A great cookbook that contains many recipes for healthy eating! Whether you're vegetarian or a meat eater, you'll find something tasty in this book!",Good,"Good condition, no majro wear or tear.",Hardback,Dust Jacket,English,Cooking,,Cookbook,Non-Fiction,,,,"Young Adults, Adults",,,22,2,7,10,1,0
102,Glass,Ellen Hopkins,1,,"Young adult, drama, poetry",Simon Pulse,2009,5,"A story about a young girl addicted to meth. Told in a journal entry style, with unique formatting. Read this and stay away from drugs!",Good,"Good condition, no majro wear or tear.",Paperback,,English,Drugs,,Novel,Fiction,,,,"Young adults, Adults",,,24,2,7,10,1,8
105,Magic Tree House - Polar Bears Past Bedtime,Mary Pope Osbourne,1,Sal Murdocca,"Adventure, fantasy, action, children, young adult",Random House,1998,7,"Imagine you had a magic tree house that transported you to an infinite amount of worlds, just by reading a book. Sounds too good to be true right? Well you're wrong! This is a great book series for kids and will boost their imagination and love for books. See pictures for more details.",Good,"Great condition, no missing pages or tears.",Paperback,,English,,,Novel,Fiction,,,,"Kids, children",,,16,2,7,10,6,0
106,Superman Last Son of Krypton,Heather Au,1,Chris Fowler,"children, heros, fantasy, action",Bendon Publishing,2010,5,"Short and awesome book about Clark Kent, Superman and his adventures saving Metropolis from foes like Lex Luthor, General Zod and Mongul. Great for little kids or adults who love Superman. See pictures for more details.",Good,Books is in good condition with no visible wear or tear.,Hardback,,English,"Superhero, adventure, action",,Kid's book,Fiction,,,,"Kids, children",,,12,2,7,10,0,13
107,The Adventures of Captain Underpants,Dav Pilkey,1,Dav Pilkey,"children, young adult, humor, fantasy, comedy, superheros, sci fi, wacky",Scholastic,1997,5,Minimal wear.,Good,Folds on pages.,Paperback,,English,,,,,,,,,,,14,,,,0,0
108,Animorphs Megamorphs #1 - The Andalite's Gift - Part 2,K.A. Applegate,1,David B. Mattingly,"Adventure, fantasy, action, children, young adult",Scholastic,1997,10,"Part 2 of the exciting Megamorps saga! These teenagers are given the ability to transform into any animal they touch and jeez louise, let me tell you, things get crazy when you give a bunch of teenagers super powers! See pictures for more details.",Good,"Great condition, no missing pages or tears.",Paperback,,English,"Adventure, superpowers, teenagers, aliens, heros",,Novel,Fiction,,,,"Young adults, kids, teenagers, children",,,17,2,7,10,7,0
109,The Little Mermaid,Michael Teitelbaum,1,Sue DiCicco,"Adventure, fantasy, action, children, young adult, fairy tale",Little Golden Books,2006,5,"The classic kid's tale about the Little Mermaid, Small book with cute illustrations.",Good,"Good condition, no majro wear or tear.",Hardback,,English,Fantasy,,Kid's book,Fiction,,,,"Kids, children",,,11,2,7,10,0,11
110,102 Dalmatians,Dodie Smith,1,,"Adventure, fantasy, action, children, young adult, fairy tale",Grolier Enterprises,2000,5,"The sequel to 101 Dalmatians. Now there are more pups and Cruela won't stop trying to make them into coats, for some reason. Book has some writing from previous owner.",Good,Some writing from previous owner on pages. No missing pages. Please see pictures!,Hardback,,English,Animals,,Kid's book,Fiction,,,,"Kids, children",,,17,2,7,10,0,12
111,Aladdin,,1,,"Adventure, fantasy, action, children, young adult, fairy tale",Grolier Enterprises,1993,5,"The classic tale about Aladdin and his journey for self improvement, with the help of his friends Genie, Abu and the Magic Flying Carpet. Book contains some writing from previous owner. See pictures!",Good,Some writing from previous owner on pages. No missing pages. Please see pictures!,Hardback,,English,Fantasy,,Kid's book,Fiction,,,,"kids, children",,,21,2,7,10,0,11
112,The Goosebumps Collection 2,R.L. Stine,1,,"Children, Young Adult, Thriller, Humor, Suspense, Scary",Scholastic,2015,15,"Eight frightening Goosebumps books by R.L. Stine! Contains: Be Careful What You Wish For, Deep Trouble, Ghost Beach, Monster Blood, Night of the Living Dummy 3, The Scarecrow Walks at Midnight, Stay Out of the Basement, The Werewolf of Fever Swamp. Perfect for kids who like spooky and weird fiction!",Good,"Comes with a book case. Books are in good condition, case has some wear. See pictures.",Paperback,Dust Jacket,English,Horror,,Kid's book,Fiction,,,,"kids, children, young adults,",,,18,2,7,10,2,10
113,The Coldest Winter Ever,Sister Souljah,1,,"Women, Drama, Suspense,",Pocket Books,2006,8,"A realistic coming of  age story that follows, Winter, the daughter of a wealthy and prominent Brooklyn drug-dealing family. Book is worn and shows signs of aging but is intact.",Good,"Worn, but intact.",Paperback,,English,"Women, coming of age",,Novel,Fiction,,,,"Young adults, adults",No,,16,2,7,10,1,2
114,The Sinner's Guide,Venerable Louis of Granada,1,,"Religiion, Christianity, Spirituality ",Tan Books and Publishers,1985,12,"A book that will teach you about sinning, from the words of Louis of Granada translated by a Dominican Father. See pictures for more details.",Good,"Book shows signs of aging, but has no major tears or missing pages.",Paperback,,English,"Religion, Christianity, Sin",,Guide,Non-Fiction,,,,"Adults, young adults",No,,15,2,7,10,1,6
116,How Do Dinosaurs Say Happy Birthday? Clean Their Rooms? Count to Ten? Play with their Friends?,Jane Yolen,1,Mark Teague,"Children, kids, educational, learning",Blue Sky Press,2011,15,Teach your little ones valuable life lessons with the help of dinosaurs! A set of 4 books that includes How Do Dinosaurs Say Happy Birthday? How Do Dinosaurs Count to Ten? How Do Dinosaurs Clean Their Rooms? How Do Dinosaurs Play with their Friends? Cute and easy to read! See pictures for more details.,Good,Used and slight signs of wear. No missing pages. See pictures.,Hardback,,English,"Dinosaurs, counting, learning, kids, children",How Do Dinosaurs,Kid's Book,Fiction,,,,"Kids, children",,,20,3,7,10,2,14
117,"The Lion, the Witch and the Wardrobe",C.S. Lewis,1,Pauline Baynes,"Fantasy, adventure, epic, action",Scholastic,1995,5,An amazing story about a group of kids that travel via wardrobe to a magical land full of fantasy and wonder. With the help of the Great Lion Aslan they will change Narnia and their own lives forever! See pictures for more details.,Good,"Books has a bit of a bend to it, but no missing pages or tears and overall good condition.",Paperback,,English,"Fantasy, adventure",The Chronicles of Narnia,Novel,Fiction,,,,"young adults, kids, children",,,16,2,7,10,0,14
118,Signet Classics Set Shakespeare,Shakespeare,1,,"Poetry, poems, epic, shakespeare, folk",Signet Classic,1998,30,"A collection of Shakespeare's greatest works! Includes: Richard II, Antony and Cleopatra, Henry IV, MacBeth, The Merchant of Venice, King Lear, Richard III, Hamlet, Henry V, Romeo and Juliet, Much Ado About Nothing, A Midnight Summer's Dream, The Taming of the Shrew, The Merry wives of Windsor, All's Well that Ends Well, Twelfth Night, Othello. Books include notes and commentaries. See pictures!",Good,"Books have some slight wear from the ages, but no major tears or missing pages. See pictures!",Paperback,,English,,,,Fiction,,,,,,,20,6,8,10,6,3
119,Pinocchio Learns His Lesson,Disney,1,,"Fantasy, children, fairy tale, adventure",Starprint,1992,10,Small and cute book about Pinocchio learning a valuable life lesson. This book is pretty small and appears to be made with a sort of cardboard like material. The artwork is glossy and very colorful. See pictures for more details.,Great,Books is in great condition. Glossy and no major wear or tear. Small book.,Hardback,,English,"Fantasy, puppets, kids",,Kid's Book,Fiction,,,,"kids, children",,,8,2,7,10,0,12
120,Peter Pan and His Friends,Disney,1,,"Fantasy, children, fairy tale, adventure",Gallery Books,1990,10,Small and cute book about Pinocchio learning a valuable life lesson. This book is pretty small and appears to be made with a sort of cardboard like material. The artwork is glossy and very colorful. See pictures for more details.,Good,"Book is in good condition, no major wear or tear. ",Hardback,,English,"Fantasy, fairytale, pirates",,Kid's Book,Fiction,,,,"kids, children",,,8,2,7,10,0,12
121,PInocchio Visits Pleasure Island,Disney,1,,"Fantasy, children, fairy tale, adventure",Starprint,1992,10,"Small and cute book about Pinocchio and his adventures in Pleasure Island. Small book, with big letters meant for small children or adult collectors. See pictures for more details.",Great,Books is in great condition. Glossy and no major wear or tear. Small book.,Hardback,,English,"Fantasy, puppets, kids",,Kid's Book,Fiction,,,,"kids, children",,,8,2,7,10,0,12
122,Peter Pan Captured By Pirates,Disney,1,,"Fantasy, children, fairy tale, adventure",Gallery Books,1990,10,"Small and cute book about Peter Pan and his friends. When Captain Hook captures Wendy and and her brothers, Peter Pan flies in to the rescue! Small book meant for small children or for adult collectors. See pictures for more details.",Good,"Book is in good condition, no major wear or tear. ",Hardback,,English,"Fantasy, fairytale, pirates",,Kid's Book,Fiction,,,,"kids, children",,,8,2,7,10,0,12
123,The Fellowship of the Ring,J.R.R. Tolkien,1,,"Fantasy, adventure, epic, action",Houghton Mifflin Company,1987,10,The first part of the Lord of the Rings series. This is where the journey to Mordor begins! Follow Frodo and Sam and their wild adventure across Middle Earth. See pictures for more details.,,"Book is in good condition, no major wear or tear. ",Paperback,,English,"Fantasy, magic, adventure, fairy tale, hobbits, lord of the rings",Lord of the Rings,Novel,Fiction,,,,"kids, young adults, teenagers, adults",,,14,2,7,10,1,12
124,The Cooper Kids Adventure Series,Frank Peretti,1,David Yorke,"Fantasy, adventure, epic, action",Crossway Books,1990,15,"The epic adventures of Jay and Lila Cooper, the children of an archaeologist. A rip roaring tale filled with danger with a fantastic battle between the forces of Good and Evil! This is a set of books 1-4. See pictures for more details.",,Books are in good condition. No major wear or tear.,Paperback,,English,"Fantasy, adventure, epic",The Cooper Kids Adventure Series,Novel,Fiction,,,,"kids, young adults, teenagers",,,12,2,7,10,1,13
125,"Racing Maxims and Methods of ""Pittsburgh Phil""",Edward W. Cole,1,,"Racing, horses, gambling, finance, strategy",GBC Press,1994,25,"A complete and detailed account of the only interview ever granted by Pittsburgh Phil, a legender plunger who made a fortune off of horse racing. If you want to be like Pittsburgh Phil and get rich off of horse races, here's your chance! See pictures for more details.",Good,Books is in good condition with no major wear or tear.,Paperback,,English,"Horse races, gambling, money",,Guide,Non-Fiction,,,,"adults, young adults, old adults",,,17,2,7,10,1,2
126,Madoka Magica 1-3,Magica Quartet,1,Hanokage,"Manga, magic, fairy tale, adventure, epic",Hachette Book Group,2012,12,"The beloved Manga series Madoka Magica, books 1-3. Magic is real and now you can read about it and wish that you had sold your deepest desire to a magic cat for supernatural abilites too! See pictures for more details.",Good,Books are in good condition. No major wear or tear.,Paperback,,English,"Magic, manga, women, adventure, fantasy",Madoka Magica,Manga,Fiction,,,,"adults, young adults, children, teenagers",,,13,2,7,10,1,12
127,The Hobbit,J.R.R. Tolkien,1,,"Fantasy, adventure, epic, action",Ballantine Books,1974,12,"The prelude to the Lord of the Rings. Do you like hobbits? Wizards? How about dwarves and dragon, then pal this is the book for you! This is set before the events of the Lord of the Rings and follows Bilbo Baggins along on his epic quest. See pictures for more details.",,"Book shows signs of aging, but has no major wear or tear. No missing pages. ",Paperback,,English,"Fantasy, adventure, epic",,Novel,Fiction,,,,"adults, young adults, teenagers, old adults",,,17,2,7,10,1,2
128,Mexican Americans in Redondo Beach and Hermosa Beach,Ale Morena Areyan,1,,"History, Culture, Mexican, Photographs",Arcadia Publishing,2007,15,This book tells the story of how Mexican Americans came to populate Redondo and Hermosa Beach. Archival photographs help shape the story of an important culture in the United States. Great read for anyone who wants to learn more about Mexican American culture and American history. See pictures for more details.,Good,Books shows no signs of major wear or tear.,Paperback,,English,"History, mexicans, america, culture",,Archive,Non-Fiction,,,,"adults, young adults, teenagers, old adults",,,21,2,7,10,1,5
129,The Captain Underpants Extra-Crunchy Book O' Fun 1-2,Dav Pilkey,1,Dav Pilkey,"Children, activity book, superhero, action",Scholastic,2001,10,"Join George and Harold in this activity book that's full of fun and games. Play hilarious pranks on Mr. Krupp, defeat puzzles and even learn to make your own comics! Complete with  Flip-O-Rama action! See pictures for more details.",Good,Books are in good condition and unused. Glossy covers and no major wear or tear.,Paperback,,English,"Activity book, puzzles, comics",The Adventures of Captain Underpants,Activity Books,Fiction,,,,"kids, children",,,24,2,7,10,1,2
130,"The Merchant of Venice, the Oxford Shakespeare",Shakespeare,1,,"Poetry, poems, epic, shakespeare, folk",Oxford University Press,2008,10,"The age old tale of the Merchant of Venice, with commentary and notes to help you better understand the story. See pictures for more details.",Good,"Book is in good condition, no major wear or tear. ",Paperback,,English,"Poetry, poems, tale, ",,Novel,Fiction,,,,"young adults, adults",,,13,2,7,10,1,5
131,The Blank Book,Lemony Snicket,1,Brett Helquist,"Journals, diary, personal",Harper Collins,2004,10,"If you've read A Series of Unfortunate Events, then you're no stranger to upsetting and depressing stories. Now with this Blank Book, you can write down your own depressing and upsetting stories! Each page is blank and you will find various quotes from the story scattered throughout. Journal your trauma today! See pictures for more details.",Great,Unused and in good condition. No major wear or tear.,Paperback,,English,"Journal, diary",,Journal,Non-Fiction,,,,"children, teenagers, young adults, adults",,,12,2,7,10,1,2
132,Leaves of Grass The First Edition 1855,Walt Whitman,1,,"Poetry, poems,",Barnes and Noble,1997,12,"A collection of poems by the legendary Walt Whitman. Read and feel things like emotions and happiness, longing, perhaps even dread? You decide! See pictures for more details. Comes with a ribbon bookmark.",Good,Books is in good condition with no major wear or tear.,Hardback,,English,"Poetry, poems",,Poem Book,Non-Fiction,,,,"teenagers, young adults, adults, old adults",,,16,2,7,10,1,13
133,Handicapping Speed The Thoroughbred and Quarter Horse Sprinters,Charles Carroll,1,,"Horse racing, racing, horses, strategy, sports",The Lyons Press,1991,25,"if you've ever stayed up late at night, unable to sleep because of the dread that comes with knowing you have a weak handicapping ability, then this is the book for you. Dread no more, as you read this book and absorb it's many secrets on how to become a better speed handicapper and do great things with your horse pal. See pictures for more details.",Good,"Book is in good condition, no major wear or tear. ",Paperback,,English,"Horse racing, sports, horses",,Guide,Non-Fiction,,,,"teenagers, young adults, adults, old adults",,,17,2,7,10,1,6
134,Everyday Winning,Stanley Drake,1,,"Horse racing, racing, horses, strategy, sports",Stanley Drake,1990,25,"A simple and quick mechanical method to master the art of horse racing. Do you often find yourself sitting alone at the bar, gazing absentmindedly at your drink, wishing you could drown your sorrows, after a tough day of betting and losing on horse races? Well, put that drink down and pick this book up, because Stanley Drake is about to teach you how it's done. Learn the secrets of the game of kings and become the horse race betting master! See pictures for more details.",Good,"Books is aged and does contain writings and notes of the previous owner, but has no missing pages or tears. Book appears to be self-published.",Paperback,,English,"horse racing, gambling, horses",,Guide,Non-Fiction,,,,"young adults, adults, old adults",,,9,2,7,10,0,12
135,Rugrats - Sweet Victory,Sarah Willson,1,Peter Panas,"Children, comedy, adventure",Simon Spotlight,2005,5,Short story about the rugrats trying to ge their hands on some sweet candy! Cardboard like material used to make this book.,Good,Slight signs of aging and a bit of a bend to the book. No major tears or wear.,Hardback,,English,Children,,,Fiction,,,,"children, kids",,,9,2,7,10,0,11
136,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1,Mary Grandpre,"Fantasy, adventure, epic, action",Scholastic,2008,5,The beginning of the wonderful Harry Potter saga! This is where it all starts!,,"Good, signs of wear and usage. See pictures.",Paperback,,English,Magic,,,Fiction,,,,"children, kids, young adults",,,18,2,7,10,1,2
137,Snow White and the Seven Dwarfs,Disney,1,,"Fantasy, fairy tale,",Little Golden Books,2009,10,"The classic beloved tale about Snow White and the Seven Dwarves. Small book, great for little kids!",Good,"Good condition, no major signs of wear and tear.",Hardback,,English,Fairy tale,,,Fiction,,,,"children, kids",,,16,2,7,10,0,10
138,The Right Horse,William Murray,1,,"Horse racing, racing, horses, strategy, sports",Doubleday,1997,25,"Want to learn about horse racing? Perhaps you're tired of losing out on bets? Well pal, this is the book for you! Read this and maybe, just maybe you'll become a master of betting on horse races, which is apparently still a thing.",Good,"Good condition, no major signs of wear and tear.",Hardback,,English,Horse Racing,,,Non-Fiction,,,,"Young adults, adults",,,17,2,7,10,1,8
139,Captain Underpants and the Invasion of the Incredibly Naughty Cafe,Dav Pilkey,1,Dav Pilkey,"Children, superhero, action, adventure, comedy",Scholastic,1999,5,The Third Epic Novel that tells the continuing tale of Captain Underpants! This time the unlikely hero faces off against Cafeteria Ladies from Outerspace! Marvel at the shenanigans and the Flip-o-rama action!,Good,"Good condition, no major signs of wear and tear.",Paperback,,English,Children,,,Fiction,,,,"children, kids",,,10,2,7,10,0,13
140,Corduroy en Espanol,Don Freeman,1,Don Freeman,"Children, fantasy, toys",Puffin Books,1988,10,Un libro para ninos.,Good,,Paperback,,Spanish,Children,,,Fiction,,,,"children, kids",,,18,2,7,10,0,10
141,Curious George and the Puppies,Margret H.A. Rey,,H.A. Rey,"Children, fantasy, animals",Houghton Mifflin Company,1998,12,"Another cute story about the beloved monkey, Curious George and his friend, the Man in the Yellow Suit! Great for little kids!",Good,"Good condition, no major wear or tears.",Paperback,,English,Animals,,,Fiction,,,,"children, kids",,,15,2,7,10,0,10
142,The Berenstain Bears Count Their Blessings,Stan and Jan Berenstain,1,Stan and Jan Berenstain,"children, fantasy, animals",Random House,1995,15,A lovely story about the Berenstain Bears being grateful for their family and lives. Read this to your kids and teach them about being grateful!,Good,"Good condition, no major wear or tears.",Paperback,,English,Animals,,,Fiction,,,,"children, kids",,,16,2,7,10,0,10
143,Disney's Enchanting Tales,Disney,1,Disney,"Children, fantasy, fairy tales",Innovage,2005,20,"A collection of all the major Disney fairy tales such as Snow White, Cinderella, The Lion King, The LIttle Mermaid, Beauty and the Beast, Tarzan, Mulan and so much more! Illustrations right out of the movies. See pictures!",Good,"Good condition, no major wear or tears.",Hardback,,English,Fairy tale,,,Fiction,,,,"children, kids",,,24,2,10,13,5,0
144,The Hidden World of Birthdays,Judith Turner,1,,"Spirituality, Religion, New Age",Simon and Schuster,1999,25,"A fascinating book that can shower you insights about yourself, using your birthday. Of course, this is just one perspective, but the author will share what gems, colors, flowers, stars and spiritual guides can help you along your personal journey. Perhaps this book will speak to you, perhaps not. Only one way to find out. At the very least, it's an entertaining view into the various archetypes that make up our society. See the pictures to get a better idea of what this book contains.",Good,"Book appears to have been exposed to moisture and there is a warping to some pages. However, no pages are missing and book is whole. See pictures.",Hardback,,English,Spirituality,,,Non-Fiction,,,,"Young adults, adults, old adults",,,24,2,7,10,2,6
145,Mi Cocina,Mercedes Sanchez Perez,1,Beatriz de Costa,"Cooking, recipes, recetas, espanol",Estudios Graficos Europeos,2008,10,Recetas para cocinar deliciosa comida de chocolate!,Good,See pictures.,Paperback,,Spanish,Cooking,,,Non-Fiction,,,,"Young adults adults, old adults,",,,22,2,7,10,1,6
147,The Count of Monte Cristo Hardcover,Alexandre Dumas,1,,"Drama, Mystery, Victorian, Suspense",Signet Classics,2005,10,"A classic tale set in the post-Napoleonic era. Edmond Dantes, a young sailor is posed to become captain and marry his beloved, only to be betrayed by his bitter enemies and be sentenced to a life of imprisonment. With the help of his sole companion in prison, he escapes and takes on a new identity as the powerful and mysterious Count of Monte Cristo. ",Good,"Great condition,, no major wear or tear. ",Hardback,,English,Adventure,,Novel,Fiction,,,,"Young adults, adults",,,16,2,7,10,1,3
148,The Girl With the Dragon Tattoo,Stieg Larsson,1,,"Mystery, Detective, Suspense, Drama, Murder, Thriller,",Vintage Books,2009,5,"MIkael Blomkvist, a journalist is hired to investiage the disappearance of a welathy Swedish scion. With the help of Lisbeth Salanderl, the dive deeper and deeper into a web of mysteries and suspense.",Good,"Some writings from previous owner on the first few pages, but book is in otherwise good shape. See pictures!",Paperback,,English,Mystery,,Novel,Fiction,,,,"Young adults, adults",,,16,2,7,10,1,3
149,A Storm of Swords,George R.R Martin,1,,"Fantasy, epic, adventure, action",Bantam Books,2011,5,"The third volume in George R.R Martin's epic Game of Thrones saga. Set after the events of A Clash of Kings, the War of 5 kings is set to come to disastrous end!",Good,"Good condition, no major wear or tears.",Paperback,,English,Fantasy,,Novel,Fiction,,,,"Young adults, adults",,,12,2,7,10,1,11
150,Sleeping Beauty,Maureen Spurgeon,1,Brown Watson,"Fantasy, fairy tale,",Brown Watson,1990,10,"The classic tale about a princess who falls under a wicked spell and is rescued from death from love's true kiss. This is not the Disney version. For one, the evil sorceress is named Carabos not Malificent. Still, quite an interesting read.",Good,"Good condition, no major wear or tears.",Hardback,,English,Fantasy,,Kid's book,Fiction,,,,"Young adults, adults",,,24,2,7,10,0,11
151,The Beatles - A Hard Day's Night,John Burke,1,,"Music, History, Musicians",Dell Publishing,1964,30,"Spend a day with the Beatles in this fantasic novel.Contains 8 pages of exlusive photos from the movie, as well! John, Ringo, George and Paul all fall into different shenanigans and what a whacky time they have! A great read for any hardcore fan.",Good,"Some slight wear and aging, but book is whole and intact. No missing pages or major tears. See pictures!",,,English,Music,,Novel,Fiction,,,,"Young adults, adults",,,14,2,7,10,0,11
152,The Horse and His Boy,C.S. Lewis,1,Pauline Baynes,"Fantasy, epic, adventure, fairy tale",Scholastic,1995,5,"Book 3 of the Chronicles of Narnia. Set during the Golden Age of Narnia, when Peter is High King. Follow the adventures of a boy named Shasta, as he seeks to discover who his real father is!",Good,"Some wear and creasing on cover, but no missing pages. See pictures.",Paperback,,English,Fantasy,,Novel,Fiction,,,,"Young adults, adults",,,18,2,7,10,0,13
153,Nancy Drew - Ghost Stories 1987,Carolyn Keene,1,,"Horror, fantasy, mystery",First Minstrel Books,1987,8,"Six haunting stories! Nancy Drew doesn't believe in ghosts, but there are so many unexplained occurences, that she will soon find herself in her most challenging cases yet!",Good,"Front cover has a tear, but book is whole and no missing pages. See pictures!",Paperback,,English,Mystery,,Novel,Fiction,,,,"Kids, young adults, adults",,,17,2,7,10,0,11
154,The Magician's Nephew,C.S. Lewis,1,Pauline Baynes,"Fantasy, epic, adventure, fairy tale",Scholastic,1995,5,"The first tale in the Chronicles of Narnia.Two friends, Digory and Polly find their way to Narnia, where they encounter talking beasts and the evil sorceress Jadis.",Good,"Slight wear, no missing pages or major tears. See pictures!",Paperback,,English,Fantasy,,Novel,Fiction,,,,"Kids, young adults, children",,,17,2,7,10,0,13
